Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
InSPIRE/Sites/Solar Sources Solar,Habitat,1.4,10.6,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Solar Way,Habitat,1.4,8.9,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/SoliCulture Greenhouse,Greenhouse,0.01,0.05,,Translucent PV,Fixed,,Greens,
InSPIRE/Sites/Solinator Garden,Habitat,1,6,2020,Monofacial PV,Single-axis Tracking,"Naturalized, Pollinator",,
InSPIRE/Sites/Somonauk Road Solar 1,Habitat,2.7,16.5,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Spadra Farm- Cal Poly Campus,Crop Production,0.032,,2024,Monofacial PV,,,Lettuce,
InSPIRE/Sites/Spartanburg (Kohler),Habitat,1.2,6,2017,,Fixed,Pollinator,,
InSPIRE/Sites/Spica Community Solar,"Habitat,Grazing",2.6,13.12,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Spring Street Road II Solar Project,Grazing,7,27.5,,,,,,Sheep
InSPIRE/Sites/Spring Street Road III Solar Project,Grazing,7,35.22,,,,,,Sheep
InSPIRE/Sites/Starratt Solar Farm,Grazing,5,25,2017,,Fixed,,,Sheep
InSPIRE/Sites/Steamboat Solar,Habitat,1.2,9.1,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Stearns Solar I,Habitat,1.4,11,2019,Other,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Strandness Garden,Habitat,1.3,4.93,2020,,Fixed,Native grasses,,
InSPIRE/Sites/Strawberry Point DPC Solar,Habitat,1.6,10,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Strobus,Habitat,1.9,12.1,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Stromland,"Habitat,Grazing",3.7,15,2021,Bifacial PV,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Summit Plant Labs,Greenhouse,0.027,0.125,2022,Bifacial PV,,,,
InSPIRE/Sites/Sun Mountain Solar,Grazing,296.2,2240,2022,Other,Single-axis Tracking,,,Sheep
"InSPIRE/Sites/SunE Feely 1 CSG, LLC","Habitat,Grazing",6.5,49.85,2018,,Fixed,Native grasses,,Sheep
"InSPIRE/Sites/SunE Stolee CSG, LLC","Habitat,Grazing",3.9,34.13,2018,,Fixed,Native grasses,,Sheep
InSPIRE/Sites/SunVest Solar,Habitat,3,18.5,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Sunflower I (Connexus Solar Baldwin 1BDN),Habitat,3.7,18,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Sunrise Community Solar,"Habitat,Grazing",6.5,30.5,2016,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Sunrise Solar,Habitat,1.4,10.5,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Sunzaun Somerset Winery,Crop Production,0.023,3,2022,Bifacial PV,Fixed,,Grapes,
InSPIRE/Sites/Sussex Conservation District,Habitat,0.039,0.5,2012,,Fixed,Pollinator,,
InSPIRE/Sites/Swan Garden,Habitat,1.5,7.43,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Swanton School - Megan and Tyler,Habitat,0.62,3,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Sycamore Solar,Habitat,2.7,12,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/T Luhman CSG,Grazing,1.4,7,2021,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Taurus Community Solar,"Habitat,Grazing",5.2,23.11,2018,Other,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Taylors Falls CSG,Habitat,7.2,27.8,2018,Monofacial PV,Fixed,Pollinator,,
InSPIRE/Sites/Temple University Ambler Campus,"Crop Production,Habitat",0.00574,0.014,2023,Bifacial PV,Fixed,Pollinator,"Lettuce (buttercrunch head lettuce, red salad bowl lettuce), basil (genovese), cherry tomatoes (supersweet, sungold), beans (burpees stringless green pod, contender), radishes (french breakfast, donato F1)",
InSPIRE/Sites/Terrapin Branch Solar,Grazing,1.5,5,2014,,Fixed,,,Sheep
InSPIRE/Sites/Tiller CSG,Habitat,6.3,35.47,2018,,Single-axis Tracking,Native grasses,,
InSPIRE/Sites/Toms River,Habitat,28.89,126,2021,,Fixed,Native grasses,,
InSPIRE/Sites/Topaz Solar Farm,Grazing,752.1,4700,2014,Other,Fixed,,,Sheep
InSPIRE/Sites/Townsend Road (CSG),Grazing,5.1,21.1,2021,,Fixed,,,Sheep
InSPIRE/Sites/Trumbell,Habitat,1.314,7,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Turkey Creek Ranch,"Habitat,Grazing",70,753,2022,Other,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Turkey Solar,Habitat,1.4,9.5,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Two Creeks Solar Park,Habitat,213,782,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/UC Davis Agrivoltaic Test Site,Crop Production,0.005,1.4,2022,Bifacial PV,Fixed,,"Peppers, Basil, Tomatoes",
InSPIRE/Sites/USDA-UGA AgSolar Synergy,Greenhouse,0.01,0.1,2023,Translucent PV,Fixed,,"Tomato, lettuce",
InSPIRE/Sites/USS Brockway Solar CSG,Habitat,1.4,8.2,2019,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Danube,Habitat,1.4,7.9,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Foley,Habitat,1.4,7.85,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Itasca,Habitat,1.4,14,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Peach,Habitat,1.4,7.3,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Prokosch,Habitat,1.4,7.8,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Quail,Habitat,1.4,8.4,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Rosebud,Habitat,1.4,8.1,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Water City,Habitat,1.4,8.5,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Water Fowl,Habitat,1.4,4,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Water Town,Habitat,1.4,8.3,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Webster Solar CSG,Habitat,1.4,8.21,2019,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/USS Wildcat,Habitat,1.4,7.9,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/University Area Joint Authority,"Habitat,Grazing",6.2,98.33,2021,Bifacial PV,Fixed,Native grasses,,Sheep
InSPIRE/Sites/University of Arizona Biosphere 2 Site,Crop Production,0.02,0.1,2022,Monofacial PV,Fixed,,"tomato, pepper, 20+ crop types",
InSPIRE/Sites/University of Dayton - Curran Place,Habitat,1.26,8,2018,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/University of Massachusetts-Amherst,Crop Production,0.026,0.15,2011,Monofacial PV,Fixed,,"Pepper, kale, broccoli, beans, chard",
InSPIRE/Sites/University of Minnesota Morris West Central Research and Outreach Center,Grazing,0.03,0.023,2018,,Fixed,Naturalized,,Cows
InSPIRE/Sites/University of Minnesota-CHP Plot,Habitat,0.15,1.1,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Urbana Landfill Central,Habitat,2.7,11.36,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Urbana Landfill East,Habitat,2.7,10.3,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Ursa Community Solar,"Habitat,Grazing",6.5,27.78,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/VEC Alburgh Array,Habitat,1.2,6,2016,,Fixed,Pollinator,,
InSPIRE/Sites/VEC Magee Hill Solar,Habitat,1.7,8,2017,,Fixed,Pollinator,,
InSPIRE/Sites/Valley Creek,Habitat,3.1,15.5,2017,Monofacial PV,Fixed,Pollinator,"Melons, squash, pumpkins, and tomatoes",
InSPIRE/Sites/Valparaiso Solar LLC,Grazing,1.3,5.6,2012,,Fixed,,,Sheep
InSPIRE/Sites/Van Epps Solar,"Habitat,Grazing",7.6,26,2021,,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Vasquez V,Grazing,4.809,24.045,2021,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Vega Community Solar,"Habitat,Grazing",6.5,33.83,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Verde Solar,Habitat,1.4,7.6,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Verduin Community Solar Project,Grazing,2.955,20.69,2023,,,,,Sheep
InSPIRE/Sites/Vermillion River Solar,Habitat,3.8,13.6,2019,,Fixed,Pollinator,,
InSPIRE/Sites/Veseli Community Solar Garden,Habitat,1.4,8.21,2018,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Viceroy Solar,Habitat,1.4,7.45,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Volkswagen Chattanooga Solar Farm,Grazing,9.6,79,2012,,Fixed,,,Sheep
InSPIRE/Sites/WEB Brookfield,Grazing,5.1,17,2021,,Fixed,,,Sheep
InSPIRE/Sites/Walcott Solar CSG,Habitat,5.7,30.21,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Walrus Solar,Habitat,0.6,4.4,2018,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Walz Community Solar Garden,Habitat,3.018,17,2017,,Fixed,Pollinator,,
InSPIRE/Sites/Warren DPC Solar,Habitat,2.9,16.4,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Warsaw Solar CSG,Habitat,2.9,15.28,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Waseca Solar,"Grazing,Habitat",15.9,60,2016,,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Washington DC: Habitat,Habitat,2,8,2020,,Fixed,,,
InSPIRE/Sites/Washington I,Grazing,15,105,2021,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Waterloo Solar LLC,Grazing,1.3,6.4,2012,,Fixed,,,Sheep
InSPIRE/Sites/Waterville CSG Solar Holdings LLC,Habitat,6.6,33.53,2018,,Fixed,Pollinator,,
InSPIRE/Sites/Wells Fargo Des Moines Campus,Habitat,2,7.65,2022,,Fixed,Pollinator,,
InSPIRE/Sites/West Faribault U,Habitat,7.92,43.1,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/West Hallock 1 Project,Habitat,2.8,15.9,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/West Side Solar,Habitat,13.69,126,2023,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/West Waconia,Habitat,12.24,71,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Westar Cities Solar,Habitat,1.3,8.85,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Westeros Solar,Habitat,1.4,9.8,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Westhampton Montague Road,"Habitat,Grazing",6.31,23.2,2020,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Westlands Almond,Grazing,26,160,2023,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Westlands Solar Blue,Grazing,250,1841,2023,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Westlands Westside Chestnut,Grazing,150,1050,2021,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Westport B Community Solar Garden,Grazing,6,7.8,2018,,Fixed,,,Sheep
InSPIRE/Sites/Whistling Winds DPC Solar,Habitat,2.1,13.6,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/White Cloud Solar,Habitat,1.4,8.9,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Whittier,Grazing,2.6,10,2019,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Wildflower Solar,"Habitat,Grazing",16.5,69,2020,,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Winona II,Habitat,1.4,11.16,,,Single-axis Tracking,Native grasses,,
InSPIRE/Sites/Winona Solar,Habitat,1.4,10.64,2019,,Single-axis Tracking,Native grasses,,
InSPIRE/Sites/Woodline Solar,Habitat,11.16,60,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Woodmere Solar Farm,Grazing,18.8,80,2015,Other,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Woolford Solar,Habitat,1.5,8.5,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Wrenshall Solar,Habitat,1.4,10,2018,,Single-axis Tracking,Pollinator,,
"InSPIRE/Sites/Wyoming 2 CSG, LLC","Habitat,Grazing",6.5,39.6,2018,,Fixed,Native grasses,,Sheep
InSPIRE/Sites/York Solar,Habitat,1.8,10.6,,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Zumbro Solar Garden,Habitat,1.3,4.08,2020,,Fixed,Native grasses,,
InSPIRE/Sites/hacienda Gosen-UPR-Agroenergia,Crop Production,0.255,0.05,2024,Monofacial PV,Fixed,,"Beans, Eggplant",
